Domain,Volume ID in Gutenberg,Volume ID in HathiTrust,Pubdate in HathiTrust,Volume Title in HathiTrust,Volume Title in Gutenberg,Author
Fiction,49979,uc2.ark+=13960=t00001m7n,1907,The Master of Stair / by Marjorie Bowen.,The Master of Stair,"Bowen, Marjorie"
Fiction,49987,hvd.hwkqan,1843,"Forest days : a romance of old times / by G.P.R. James, Esq. ...",Forest Days: A Romance of Old Times,"James, G. P. R. (George Payne Rainsford)"
Fiction,50042,hvd.hn6bb6,1853,"The forgery, or, Best intentions / by G.P.R. James.","The Forgery; or, Best Intentions.","James, G. P. R. (George Payne Rainsford)"
Fiction,50090,nc01.ark+=13960=t7wm19q10,1920,"The red lady, by Katharine Newlin Burt.",The Red Lady,"Burt, Katharine Newlin"
Fiction,50131,uc2.ark+=13960=t9r20ts3g,1920,"The Marbeck inn; a novel, by Harold Brighouse.",The Marbeck Inn: A Novel,"Brighouse, Harold"
Fiction,50169,uc2.ark+=13960=t6542w94v,1889,Hermia Suydam. [By] Gertrude Franklin Atherton.,Hermia Suydam,"Atherton, Gertrude Franklin Horn"
Fiction,50179,hvd.hnw8ld,1863,Human follies. (La bêtise humaine.) By Jules Noriac [anagram] Tr. from the 16th Paris ed. By George Marlow.,Human Follies (La Bêtise Humaine.),"Noriac, Jules"
Fiction,50188,hvd.hnn9r8,1920,"The invisible foe, a story adapted from the play by Walter Hackett, by Louise Jordan Miln (Mrs. George Crichton Miln)",The Invisible Foe: A Story Adapted from the Play by Walter Hackett,"Miln, Louise Jordan"
Fiction,50203,hvd.hn1tcw,1906,The wire tappers / by Arthur Stringer ... ; illustrated by Arthur William Brown.,The Wire Tappers,"Stringer, Arthur"
Fiction,50209,hvd.hnqspv,1921,The mystery of the sycamore / by Carolyn Wells ... ; with a frontispiece in color by Frank McKernan.,The Mystery of the Sycamore,"Wells, Carolyn"
Fiction,50255,hvd.hn5scv,1917,"Fishpingle; a romance of the countryside, by Horace Annesley Vachell ...",Fishpingle: A Romance of the Countryside,"Vachell, Horace Annesley"
Fiction,50269,uc1.$b248997,1904,"Port Argent, a novel, by Arthur Colton; with a frontispiece by Eliot Keen.",Port Argent: A Novel,"Colton, Arthur"
Fiction,50272,uc1.$b248995,1906,"The cruise of the Violetta, by Arthur Colton.",The Cruise of The Violetta,"Colton, Arthur"
Fiction,50311,uc2.ark+=13960=t9p26x102,1903,"Mont Oriol, or, A romance of Auvergne : a novel / Guy de Maupassant.","Mont Oriol; or, A Romance of Auvergne: A Novel","Maupassant, Guy de"
Fiction,50324,uc2.ark+=13960=t2r49hk6p,1914,"Children of the dead end; the autobiography of an Irish navvy, by Patrick MacGill.",Children of the Dead End: The Autobiography of an Irish Navvy,"MacGill, Patrick"
Fiction,50325,hvd.hn39y5,1847,The castle of Ehrenstein; its lords spiritual and temporal; its inhabitants earthly and unearthly. By G.P.R. James.,The Castle of Ehrenstein: Its Lords Spiritual and Temporal; Its Inhabitants Earthly and Unearthly,"James, G. P. R. (George Payne Rainsford)"
Fiction,50329,osu.32435001311059,1900,The woodman : a romance of the times of Richard III / by G.P.R. James.,The Woodman: A Romance of the Times of Richard III,"James, G. P. R. (George Payne Rainsford)"
Fiction,50372,uc2.ark+=13960=t3319z51m,1891,"The tragedy of Ida Noble; a novel, by W. Clark Russell.",The Tragedy of Ida Noble,"Russell, William Clark"
Fiction,50387,umn.31951002047007o,1911,The Texican / by Dane Coolidge. With four illustrations in colors by Maynard Dixon.,The Texican,"Coolidge, Dane"
Fiction,50399,uc2.ark+=13960=t0ht2p430,1913,Our eternity / translated by Alexander Teixeira de Mattos.,Our Eternity,"Maeterlinck, Maurice"
Fiction,50411,uc2.ark+=13960=t1bk1bt28,1891,"The squatter's dream; a story of Australian life, by Rolf Boldrewood [pseud.]",The Squatter's Dream: A Story of Australian Life,"Boldrewood, Rolf"
Fiction,50438,njp.32101065845883,1918,Jaunty jock : and other stories.,"Jaunty Jock, and Other Stories","Munro, Neil"
Fiction,50453,uc2.ark+=13960=t4xg9ht2f,1909,The pest / by W. Teignmouth Shore.,The Pest,"Shore, W. Teignmouth (William Teignmouth)"
Fiction,50461,hvd.32044012783221,1921,"Herman Melville, mariner and mystic / by Raymond Weaver.","Herman Melville, Mariner and Mystic","Weaver, Raymond M. (Raymond Melbourne)"
Fiction,50462,umn.31951002103299m,1845,"Philip Augustus; or, The brothers in arms.","Philip Augustus; or, The Brothers in Arms","James, G. P. R. (George Payne Rainsford)"
Fiction,50476,hvd.hwqw2t,1891,The three Miss Kings; an Australian story / by Ada Cambridge.,The Three Miss Kings: An Australian Story,"Cambridge, Ada"
Fiction,50491,uiuo.ark+=13960=t8hf30t9c,1849,"Darnley : or, the field of the cloth of gold / By G. P. R. James, esq.","Darnley; or, The Field of the Cloth of Gold","James, G. P. R. (George Payne Rainsford)"
Fiction,50498,nyp.33433112072255,1914,"The raft, by Coningsby Dawson ... with illustrations by Orson Lowell.",The Raft,"Dawson, Coningsby"
Fiction,50499,uc2.ark+=13960=t1cj87q67,1922,"The vanishing point, by Coningsby Dawson ... illustrated by James Montgomery Flagg.",The Vanishing Point,"Dawson, Coningsby"
Fiction,50512,uc2.ark+=13960=t4gm8339d,1894,Mr. Wayt's wife's sister / by Marion Harland (Mary Virginia Terhune).,Mr. Wayt's Wife's Sister,"Harland, Marion"
Fiction,50515,osu.32435000408658,1897,"The sack of Monte Carlo, an adventure of to-day as narrated by Vincent Blacker, esq., lieutenant H.M.'s East----shire militia.",The Sack of Monte Carlo: An Adventure of To-day,"Frith, Walter"
Fiction,50518,coo.31924013487958,1851,"Gowrie; or, The king's plot.","Gowrie; or, the King's Plot.","James, G. P. R. (George Payne Rainsford)"
Fiction,50689,uva.x030577039,1903,"One in a thousand : or, The days of Henri Quatre / by G. P. R. James ; inrroduction is written by Laurie Magnus ; title-page is designed by Ivor I. J. Symes.","One in a Thousand; or, The Days of Henri Quatre","James, G. P. R. (George Payne Rainsford)"
Fiction,50701,nyp.33433112004894,1897,On the plantation; a story of a Georgia boy's adventures during the war.,On the Plantation: A Story of a Georgia Boy's Adventures during the War,"Harris, Joel Chandler"
Fiction,50751,hvd.rsl14h,1897,"The Teacup Club, by Eliza Armstrong.",The Teacup Club,"Bengough, Elisa Armstrong"
Fiction,50853,osu.32435012724472,1907,Ticonderoga : a story of early frontier life in the Mohawk Valley / by G. P. R. James ; illustrated by J. Watson Davis.,Ticonderoga: A Story of Early Frontier Life in the Mohawk Valley,"James, G. P. R. (George Payne Rainsford)"
Fiction,50854,nyp.33433074868773,1879,"Mary of Burgundy; or, The revolt of Ghent ...","Mary of Burgundy; or, The Revolt of Ghent","James, G. P. R. (George Payne Rainsford)"
Fiction,50895,coo1.ark+=13960=t9j39b48g,1915,"The rat-pit, by Patrick MacGill.",The Rat-Pit,"MacGill, Patrick"
Fiction,50906,uc1.$b299821,1900,"Savrola; a tale of the revolution in Laurania, by Winston Spencer Churchill.",Savrola: A Tale of the Revolution in Laurania,"Churchill, Winston"
Fiction,50964,nyp.33433074869078,1857,Leonora d'Orco : a historical romance / by G.P.R. James ...,Leonora D'Orco: A Historical Romance,"James, G. P. R. (George Payne Rainsford)"
Fiction,51011,uc2.ark+=13960=t5gb24r7m,1902,"The ghost camp : or, The avengers / by Rolf Boldrewood.","The Ghost Camp; or, the Avengers","Boldrewood, Rolf"
Fiction,51107,hvd.32044004438677,1913,"Woman and puppet, etc. Translated and adapted by G.F. Monkshood [pseud. for William James Clarke].","Woman and Puppet, Etc.","Louÿs, Pierre"
Fiction,51164,hvd.hn6bb3,1851,The convict : a tale / by G.P.R. James.,The Convict: A Tale,"James, G. P. R. (George Payne Rainsford)"
Fiction,51174,umn.31951002103342b,1860,The man in black : an historical novel of the days of Queen Anne.,The Man in Black: An Historical Novel of the Days of Queen Anne,"James, G. P. R. (George Payne Rainsford)"
Fiction,51209,uc2.ark+=13960=t2t43m867,1900,Babes in the bush / by Rolf Boldrewood.,Babes in the Bush,"Boldrewood, Rolf"
Fiction,51238,umn.319510020759652,1901,The pride of Jennico : being a memoir of Captain Basil Jennico / by Agnes and Egerton Castle.,The Pride of Jennico: Being a Memoir of Captain Basil Jennico,"Castle, Egerton"
Fiction,51251,hvd.hwkqdt,1842,"Morley Ernstein, or, The tenants of the heart / by G.P.R. James.","Morley Ernstein; or, the Tenants of the Heart","James, G. P. R. (George Payne Rainsford)"
Fiction,51314,hvd.hnnzjr,1901,"In bad company, and other stories, by Rolf Boldrewood [pseud.]","In Bad Company, and other stories","Boldrewood, Rolf"
Fiction,51352,nyp.33433074863493,1864,Agnes Sorel. A novel ...,Agnes Sorel: A Novel,"James, G. P. R. (George Payne Rainsford)"
Fiction,51404,coo1.ark+=13960=t6pz5rj2f,1898,"Plain living; a bush idyll [by] Rolf Boldrewood, pseud.",Plain Living: A Bush Idyll,"Boldrewood, Rolf"
Fiction,51426,uc1.31175009653711,1883,Henry D. Thoreau by F. B. Sanborn. --,Henry D. Thoreau,"Sanborn, F. B. (Franklin Benjamin)"
Fiction,51455,nyp.33433074863725,1860,The fate: a tale of stirring times. By G.P.R. James ...,The Fate: A Tale of Stirring Times,"James, G. P. R. (George Payne Rainsford)"
Fiction,51468,uc2.ark+=13960=t7wm15j6h,1903,The love of Monsieur / by George Gibbs.,The Love of Monsieur,"Gibbs, George"
Fiction,51497,hvd.hwdex4,1898,"Tales from the telling-house, by R.D. Blackmore ...",Tales from the Telling-House,"Blackmore, R. D. (Richard Doddridge)"
Fiction,51579,uc1.$b300316,1917,"A daughter of the morning, by Zona Gale, illustrated by W. B. King.",A Daughter of the Morning,"Gale, Zona"
Fiction,51642,hvd.hnn5hm,1920,"Lucinda, by Anthony Hope [pseud.] ...",Lucinda,"Hope, Anthony"
Fiction,51665,umn.31951p00931709j,1898,Tippoo Sultaun; a tale of the Mysore war.,Tippoo Sultaun: A tale of the Mysore war,"Taylor, Meadows"
Fiction,51701,uc2.ark+=13960=t6rx95j83,1907,"Grandmother; the story of a life that never was lived, by Laura E. Richards.",Grandmother: The Story of a Life That Never Was Lived,"Richards, Laura Elizabeth Howe"
Fiction,51714,njp.32101067643765,1920,The great experience / by Julia Farr ...,The Great Experience,"Farr, Julia"
Fiction,51717,aeu.ark+=13960=t3417bk2k,1898,Tekla a romance of love and war / by Robert Barr.,Tekla: A Romance of Love and War,"Barr, Robert"
Fiction,51777,nc01.ark+=13960=t05x2rh1q,1880,"Other fools and their doings, or, Life among the freedmen / by one who has seen it.","Other Fools and Their Doings, or, Life among the Freedmen","Goff, H. N. K. (Harriet Newell Kneeland)"
Fiction,51788,nyp.33433112004522,1897,"Trif and Trixy. A story of a dreadfully delightful little girl and her adoring and tormented parents, relations and friends, by John Habberton.","Trif and Trixy: A story of a dreadfully delightful little girl and her adoring and tormented parents, relations, and friends","Habberton, John"
Fiction,51898,njp.32101067647451,1847,"Beauchamp, or The error : a novel / by G.P.R. James.","Beauchamp; or, The Error.","James, G. P. R. (George Payne Rainsford)"
Fiction,51912,uc1.31158007994865,1903,"The boss, and how he came to rule New York / by Alfred Henry Lewis.","The Boss, and How He Came to Rule New York","Lewis, Alfred Henry"
Fiction,51915,nyp.33433076045313,1908,Lentala of the South Seas : the romantic tale of a lost colony / by W.C. Morrow ; the illustrations from oil paintings by Maynard Dixon.,Lentala of the South Seas: The Romantic Tale of a Lost Colony,"Morrow, W. C."
Fiction,51916,uc2.ark+=13960=t4kk94p02,1904,"The Merry Anne,",The Merry Anne,"Merwin, Samuel"
Fiction,51926,nyp.33433074856570,1913,"The eighth year; a vital problem of married life, by Philip Gibbs.",The Eighth Year: A Vital Problem of Married Life,"Gibbs, Philip"
Fiction,51940,hvd.hn38br,1920,"A garden of peace, a medley in quietude, by F. Frankfort Moore ...",A Garden of Peace: A Medley in Quietude,"Moore, Frank Frankfort"
Fiction,51951,uc2.ark+=13960=t18k7874f,1906,"The Jessamy bride, by F. Frankfort Moore, with pictures in color by C. Allan Gilbert.",The Jessamy Bride,"Moore, Frank Frankfort"
Fiction,51952,uc1.$b111097,1894,"A journalist's note-book, by Frankfort Moore.",A Journalist's Note-Book,"Moore, Frank Frankfort"
Fiction,51953,uc2.ark+=13960=t3pv6cw0x,1901,The manager of the B. & A. : a novel / by Vaughan Kester.,The Manager of the B. & A.: A Novel,"Kester, Vaughan"
Fiction,51958,nyp.33433076053283,1922,"The mountain school-teacher, by Melville Davisson Post.",The Mountain School-Teacher,"Post, Melville Davisson"
Fiction,51969,hvd.hnnxep,1901,"According to Plato, by F. Frankfort Moore.",According to Plato,"Moore, Frank Frankfort"
Fiction,51971,nyp.33433074910351,1907,The love that prevailed / by F. Frankfort Moore.,The Love That Prevailed,"Moore, Frank Frankfort"
Fiction,51974,uc2.ark+=13960=t51g0kp66,1921,In red and gold / by Samuel Merwin ; front. by Cyrus Leroy Baldridge.,In Red and Gold,"Merwin, Samuel"
Fiction,51981,njp.32101068141868,1900,Sandburrs [short stories] by Alfred Henry Lewis ... iIllustrated by Horace Taylor and George B. Luks.,Sandburrs,"Lewis, Alfred Henry"
Fiction,51986,mdp.39015059788649,1890,"Two women or one? From the mss. of Dr. Leonard Benary, by Henry Harland (Sidney Luska)",Two Women or One? From the Mss. of Dr. Leonard Benary,"Harland, Henry"
Fiction,51987,mdp.39015008204078,1917,Webster--man's man. Illustrated by Dean Cornwell.,Webster—Man's Man,"Kyne, Peter B. (Peter Bernard)"
Fiction,51988,nyp.33433074910039,1899,"Well, after all -- / by F. Frankfort Moore.","Well, After All--","Moore, Frank Frankfort"
Fiction,52019,hvd.hnf6gt,1921,"Ellen Levis; a novel, by Elsie Singmaster ...",Ellen Levis: A Novel,"Singmaster, Elsie"
